iter	RMSE
0	14.07419838
1	13.27432844
2	12.52697638
3	11.8300544
4	11.21382674
5	10.74240018
6	10.22499376
7	9.789967413
8	9.378569793
9	8.965397226
10	8.609524109
11	8.291808057
12	8.029797414
13	7.810103325
14	7.55861024
15	7.323333015
16	7.118819346
17	6.957086336
18	6.793577749
19	6.658938819
20	6.538314894
21	6.427711591
22	6.314734774
23	6.222700436
24	6.124956826
25	6.040948246
26	5.962134662
27	5.912372183
28	5.837842969
29	5.773902461
30	5.725353352
31	5.679584198
32	5.632432386
33	5.591437956
34	5.545514815
35	5.511409588
36	5.482441557
37	5.456108521
38	5.432007499
39	5.409902302
40	5.390598723
41	5.368821636
42	5.34684344
43	5.32922191
44	5.311119161
45	5.296864913
46	5.278613133
47	5.262298111
48	5.255049297
49	5.238023337
50	5.215416949
51	5.198031269
52	5.182658812
53	5.176404669
54	5.163183027
55	5.155785378
56	5.144056405
57	5.127364116
58	5.112534307
59	5.101580691
60	5.094861957
61	5.080334961
62	5.072061588
63	5.058044453
64	5.038117664
65	5.029144785
66	5.018566243
67	5.0068101
68	4.9939047
69	4.982856023
70	4.975528186
71	4.97001757
72	4.962464022
73	4.955892463
74	4.944980202
75	4.93938244
76	4.934182712
77	4.928545857
78	4.915235276
79	4.905653045
80	4.901899878
81	4.892754062
82	4.881006638
83	4.871918832
84	4.8665011
85	4.859527183
86	4.844705623
87	4.833960588
88	4.826127586
89	4.819646573
90	4.808967398
91	4.80105404
