iter	Passed	Remaining
0	0	27
1	0	26
2	0	25
3	1	24
4	1	24
5	1	24
6	1	23
7	2	23
8	2	22
9	2	22
10	3	23
11	3	23
12	4	27
13	4	26
14	5	26
15	5	25
16	5	24
17	5	24
18	6	26
19	7	25
20	7	25
21	7	25
22	8	24
23	8	23
24	8	23
25	8	22
26	9	22
27	9	21
28	9	21
29	10	20
30	10	20
31	10	19
32	10	19
33	11	19
34	11	19
35	11	18
36	12	18
37	12	17
38	12	17
39	12	16
40	13	16
41	13	16
42	13	15
43	14	15
44	14	14
45	14	14
46	14	14
47	15	13
48	15	13
49	15	13
50	15	12
51	16	12
52	16	12
53	16	11
54	16	11
55	17	11
56	17	10
57	17	10
58	18	10
59	18	9
60	18	9
61	18	9
62	19	8
63	19	8
64	19	8
65	20	7
66	20	7
67	20	7
68	20	6
69	21	6
70	21	6
71	21	6
72	21	5
73	22	5
74	22	5
75	22	4
76	22	4
77	23	4
78	23	3
79	23	3
80	24	3
81	24	2
82	24	2
83	24	2
84	25	2
85	25	1
86	25	1
87	26	1
88	26	0
89	26	0
90	26	0
91	27	0
