iter	Passed	Remaining
0	60	60432
1	60	30356
2	61	20327
3	61	15309
4	61	12304
5	62	10294
6	62	8861
7	62	7786
8	63	6947
9	63	6276
10	63	5746
11	64	5289
12	64	4899
13	64	4570
14	65	4281
15	65	4027
16	65	3805
17	66	3605
18	66	3427
19	66	3268
20	67	3128
21	67	2997
22	67	2876
23	68	2767
24	68	2666
25	68	2573
26	68	2485
27	69	2404
28	69	2330
29	69	2260
30	70	2193
31	70	2130
32	70	2071
33	70	2016
34	71	1965
35	71	1916
36	71	1870
37	72	1827
38	72	1784
39	72	1745
40	73	1707
41	73	1671
42	73	1637
43	73	1604
44	74	1573
45	74	1544
46	74	1520
47	75	1493
48	75	1466
49	75	1441
50	76	1416
51	76	1393
52	76	1371
53	77	1350
54	77	1329
55	77	1308
56	77	1289
57	78	1270
58	78	1251
59	78	1233
60	78	1216
61	79	1198
62	79	1183
63	79	1167
64	80	1152
65	80	1137
66	80	1123
67	80	1108
68	81	1095
69	81	1081
70	81	1068
71	81	1056
72	82	1044
73	82	1032
74	82	1020
75	83	1009
76	83	999
77	83	988
78	83	977
79	84	967
80	84	957
81	84	947
82	84	935
83	85	928
84	85	919
85	85	910
86	85	902
87	86	893
88	86	885
89	86	877
90	87	869
91	87	862
92	87	854
93	87	847
94	88	840
95	88	833
96	88	825
97	89	819
98	89	812
99	89	806
100	90	802
101	90	796
102	90	791
103	91	785
104	91	779
105	91	773
106	91	767
107	92	762
108	92	756
109	92	750
110	93	745
111	93	739
112	93	734
113	93	729
114	94	723
115	94	718
116	94	713
117	94	709
118	95	704
119	95	699
120	95	695
121	95	690
122	96	686
123	96	681
124	96	677
125	97	673
126	97	668
127	97	664
128	97	660
129	98	656
130	98	652
131	98	648
132	98	644
133	99	641
134	99	637
135	99	633
136	100	629
137	100	626
138	100	622
139	100	619
140	101	616
141	101	612
142	101	609
143	101	605
144	102	602
145	102	599
146	102	595
147	102	592
148	103	589
149	103	586
150	103	583
151	104	580
152	104	577
153	104	574
154	104	571
155	105	569
156	105	566
157	105	563
158	106	561
159	106	558
160	106	555
161	106	553
162	107	550
163	107	547
164	107	544
165	107	542
166	108	539
167	108	537
168	108	534
169	109	532
170	109	529
171	109	527
172	109	524
173	110	522
174	110	520
175	110	517
176	110	515
177	111	513
178	111	511
179	111	508
180	111	506
181	112	504
182	112	502
183	112	500
184	113	497
185	113	495
186	113	493
187	113	491
188	114	489
189	114	487
190	114	485
191	114	483
192	115	482
193	115	480
194	115	478
195	116	476
196	116	474
197	116	472
198	117	471
199	117	469
200	117	467
201	117	465
202	118	463
203	118	461
204	118	460
205	118	458
206	119	456
207	119	455
208	119	453
209	120	451
210	120	450
211	120	448
212	121	447
213	121	445
214	121	443
215	121	442
216	122	440
217	122	439
218	122	437
219	122	435
220	123	434
221	123	432
222	123	431
223	124	429
224	124	428
225	124	426
226	124	425
227	125	423
228	125	422
229	125	420
230	125	419
231	126	417
232	126	416
233	126	415
234	127	413
235	127	412
236	127	410
237	127	409
238	128	407
239	128	406
240	128	405
241	128	403
242	129	402
243	129	401
244	129	400
245	130	399
246	130	397
247	130	396
248	131	395
249	131	394
250	131	392
251	131	391
252	132	390
253	132	388
254	132	387
255	132	386
256	133	385
257	133	384
258	133	382
259	134	381
260	134	380
261	134	379
262	134	378
263	135	377
264	135	375
265	135	374
266	136	373
267	136	372
268	136	371
269	136	370
270	137	370
271	138	369
272	138	368
273	138	367
274	139	366
275	139	365
276	139	364
277	139	363
278	140	362
279	140	360
280	140	359
281	140	358
282	141	357
283	141	356
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	143	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	145	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	331
309	148	330
310	148	329
311	149	328
312	149	327
313	149	326
314	149	326
315	150	325
316	150	324
317	150	323
318	151	322
319	151	321
320	151	320
321	151	319
322	152	319
323	152	318
324	152	317
325	153	316
326	153	315
327	153	314
328	153	314
329	154	313
330	154	312
331	154	311
332	155	310
333	155	309
334	155	308
335	155	308
336	156	307
337	156	306
338	156	305
339	156	304
340	157	303
341	157	302
342	157	302
343	157	301
344	158	300
345	158	299
346	158	298
347	159	298
348	159	297
349	159	296
350	159	295
351	160	294
352	160	293
353	161	294
354	161	293
355	161	292
356	162	292
357	162	291
358	162	290
359	163	290
360	163	289
361	163	288
362	164	287
363	164	286
364	164	286
365	164	285
366	165	284
367	165	284
368	165	283
369	166	282
370	166	281
371	166	281
372	166	280
373	167	279
374	167	278
375	167	278
376	167	277
377	168	276
378	168	276
379	168	275
380	169	274
381	169	273
382	169	273
383	169	272
384	170	271
385	170	271
386	170	270
387	171	269
388	171	269
389	171	268
390	171	267
391	172	267
392	172	266
393	172	266
394	173	265
395	173	264
396	173	263
397	174	263
398	174	262
399	174	261
400	174	261
401	175	260
402	175	260
403	175	259
404	176	258
405	176	258
406	176	257
407	176	256
408	177	255
409	177	255
410	177	254
411	177	253
412	178	253
413	178	252
414	178	251
415	179	251
416	179	250
417	179	250
418	179	249
419	180	248
420	180	248
421	180	247
422	181	247
423	181	246
424	181	245
425	182	245
426	182	244
427	182	244
428	182	243
429	183	242
430	183	242
431	183	241
432	184	241
433	184	240
434	184	239
435	184	239
436	185	238
437	185	238
438	185	237
439	186	236
440	186	236
441	186	235
442	186	235
443	187	234
444	187	233
445	187	233
446	187	232
447	188	231
448	188	231
449	188	230
450	188	230
451	189	229
452	189	228
453	189	228
454	189	227
455	190	226
456	190	226
457	190	225
458	191	225
459	191	224
460	191	224
461	192	223
462	192	223
463	192	222
464	192	221
465	193	221
466	193	220
467	193	220
468	194	219
469	194	219
470	194	218
471	194	217
472	195	217
473	195	216
474	195	216
475	195	215
476	196	215
477	196	214
478	196	214
479	197	213
480	197	212
481	197	212
482	197	211
483	198	211
484	198	210
485	198	210
486	199	209
487	199	209
488	199	208
489	199	207
490	200	207
491	200	207
492	200	206
493	201	205
494	201	205
495	201	204
496	201	204
497	202	203
